Name,Website,Initiatives_aims,Type,Other_information,Collector,Region,Country,Tag,Data_origin,Spec_location,Mapping_location,country_iso,Latitude,Longitude
R-Ladies Tunis,https://www.meetup.com/rladies-tunis/,"This is a local chapter of R-Ladies Global ( https://www.rladies.org ), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.
",Community,NA,Anelda van der Walt,Africa,Tunisia,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Tunisia,TUN,34,9
R-Ladies Al-Khartum,https://www.meetup.com/rladies-al-khartum/,"R-Ladies welcomes members of all R proficiency levels, whether you're a new or aspiring R user, or an experienced R programmer interested in mentoring, networking & expert upskilling. Our community is designed to develop our members' R skills & knowledge through social, collaborative learning & sharing. Supporting minority identity access to STEM skills & careers, the Free Software Movement, and contributing to the global R community!",Community,NA,Anelda van der Walt,Africa,Sudan,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Sudan,SDN,15,30
R-Ladies Abuja,https://www.meetup.com/rladies-abuja,"This group is a local chapter of the R-Ladies Global organization in Abuja FCT, Nigeria. It is open to all members interested in the r programming language, data science, data analytics, and artificial intelligence. The group is focused on increasing the representation of women in the global R community through establishing local communities providing mentoring, collaborative learning & support. We are also open to collaboration from professionals, academics, and organizations willing to provide guidance and support to all members.",Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
R-Ladies Cotonou,https://www.meetup.com/rladies-cotonou,"R-Ladies Cotonou welcomes members of all R proficiency levels, whether you're a new or aspiring R user, or an experienced R programmer interested in mentoring, networking & expert upskilling. Our community is designed to develop our members' R skills & knowledge through social, collaborative learning & sharing. Supporting minority identity access to STEM skills & careers, the Free Software Movement, and contributing to the global R community!",Community,NA,Anelda van der Walt,Africa,Benin,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Benin,BEN,9.5,2.25
R-Ladies Lagos,https://www.meetup.com/rladies-lagos,"R-Ladies welcomes members of all R proficiency levels, whether you're a new or aspiring R user, or an experienced R programmer interested in mentoring, networking & expert upskilling. Our community is designed to develop our members' R skills & knowledge through social, collaborative learning & sharing. Supporting minority identity access to STEM skills & careers, the Free Software Movement, and contributing to the global R community!",Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
R-Ladies Yaoundé,https://www.meetup.com/rladies-yaounde,"This is a local chapter of R-Ladies Global ( https://www.rladies.org ), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.",Community,NA,Anelda van der Walt,Africa,Cameroon,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Cameroon,CMR,6,12
R-Ladies Accra,https://www.meetup.com/rladies-accra/,"This is a local chapter of R-Ladies Global (https://www.rladies.org), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.",Community,NA,Anelda van der Walt,Africa,Ghana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ghana,GHA,8,-2
Africa Python,https://africa.python.org/,Sharing information about Python and Python events in Africa,Community,NA,Anelda van der Walt,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
"KwaZulu-Natal Research Innovation and Sequencing Platform (KRISP), University of KwaZulu-Natal",https://h3abionet.org/nodes/ukzn,"KRISP at UKZN challenges the status quo to create a scientific environment in (South) Africa that delivers high level science, creates innovations and reverses the brain drain.",Research organisation,H3ABionet node,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
"Rhodes University, Research Unit in Bioinformatics, RUBi",https://rubi.ru.ac.za/,Bioinformatics,Research group,H3ABionet node,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
"Sydney Brenner Institute for Molecular Bioscience, University of the Witwatersrand",https://www.wits.ac.za/research/sbimb/,Sydney Brenner Institute for Molecular Bioscience (SBIMB) is a burgeoning multi-disciplinary research institute dedicated to investigating the molecular and genomic aetiology of diseases among African populations.,Research group,H3ABionet node,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Botswana Harvard AIDS Institute Partnership,https://bhp.org.bw/,"A world-renowned educational institution of excellence in research and education pertinent to HIV/AIDS and other emerging public health challenges. Our mission is to fight HIV/AIDS and emerging public health challenges through innovative research, education, and capacity building that impact policy and practice.",Research group,H3ABionet node,Anelda van der Walt,Africa,Botswana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Botswana,BWA,-22,24
"African Institute of Biomedical Science and Technology, AiBST",http://aibst.com/,"A research and education institute with a mission to discover, develop and deploy innovative healthcare solutions for Africa. Combining postgraduate education and biomedical R&D is enabling AiBST to operate in an environment which still requires capacity and capability building with respect to skilled manpower and research infrastructure,whilst conducting translational research to deliver on medical products and services that address Africa’s healthcare challenges.",Research group,H3ABionet node,Anelda van der Walt,Africa,Zimbabwe,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zimbabwe,ZWE,-20,30
Center for Proteomics and Genomics Research,https://www.cpgr.org.za/,"A non-profit organisation formed from an initiative by the South African Department of Science and Innovation (DSI). Supported by the Technology Innovation Agency (TIA), it is an established, modern, world class Omics facility in South Africa.",Research organisation,H3ABionet node,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
"Covenant University Bioinformatics Research, CUBRe",https://cucrid.covenantuniversity.edu.ng/index.php/bioinformatics,"The Covenant University Bioinformatics Research (CUBRe) is a research outfit consisting of Faculty/Graduate Students and Staff from the departments of Computer and Information Science (CIS), Biological Sciences, Electrical & Information Engineering (EIE), Chemistry, Department of Mathematics, Computer System and Information Services (CSIS) and the National Biotechnology Development Agency (NABDA), Abuja, Nigeria.",Research group,H3ABionet node,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
"Institut Pasteur de Dakar / Group for Biostatistics, Bioinformatics and Modeling",https://www.pasteur.fr/en/center-bioinformatics-biostatistics-and-integrative-biology-c3bi,"A multidisciplinary, transversal structure for large-scale data processing at the Institut Pasteur.
The C3BI facilitates cooperation and dialog on bioinformatics at the Institut Pasteur. It develops methodological research in computer science and statistics, offers support to experimental research units and works in conjunction with the Institut Pasteur International Network. The International Group for Data Analysis is responsible for developing bioinformatics activities and training in this field within the International Network.",Research group,H3ABionet node,Anelda van der Walt,Africa,Senegal,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Senegal,SEN,14,-14
Institut Pasteur du Maroc,http://www.pasteur.ma/,The mission of this Institution is to promote and protect health in Morocco through research activities and practice in public health.,Research organisation,H3ABionet node,Anelda van der Walt,Africa,Morocco,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Morocco,MAR,32,-5
Institut Pasteur of Tunis,http://www.pasteur.tn/,"IPT has been focusing on major infectious scourges of bacterial, parasitological, and viral etiology, including zoonotic and vector-borne diseases.",Research organisation,H3ABionet node,Anelda van der Walt,Africa,Tunisia,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Tunisia,TUN,34,9
"Kwame Nkrumah University of Science and Technology, KNUST",https://www.knust.edu.gh/,"It is a publicly funded university and offers training programs in the fieldsof the natural sciences, technology and the social sciences.",Research organisation,H3ABionet node,Anelda van der Walt,Africa,Ghana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ghana,GHA,8,-2
Muhimbili University of Health and Allied Sciences,https://www.muhas.ac.tz/,"To provide quality training, research and services in health and related fields for the attainment of equitable socioeconomic development for the Tanzanian community and beyond.",Research organisation,H3ABionet node,Anelda van der Walt,Africa,Tanzania,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Tanzania,TZA,-6,35
"Center for Genomics Research and Innovation, National Biotechnology Development Agency",https://nabda.gov.ng/,"Promoting, coordinating, and setting research and development priority in biotechnology for Nigeria",Research organisation,H3ABionet node,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
National Research Center,https://www.nrc.sci.eg/,The largest multidisciplinary R&D centre in Egypt devoted to basic and applied research within the major fields of interest.,Research organisation,H3ABionet node,Anelda van der Walt,Africa,Egypt,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Egypt,EGY,27,30
Genetics Department- Faculty of Agriculture- Zagazig University,http://www.agri.zu.edu.eg/,"The department has an integrated tissue culture laboratory, a molecular genetics laboratory and a microbial genetics laboratory.",Research group,H3ABionet node,Anelda van der Walt,Africa,Egypt,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Egypt,EGY,27,30
Centre for Bioinformatics and Computational Biology,https://www.sun.ac.za/english/pgstudies/Pages/Science/Centre-Bioinformatics-Computational-Biology.aspx,"Bioinformatics research, the training of post-graduate students on research projects in bioinformatics, providing training to staff and students on general bioinformatics topics, and assisting with the bioinformatics components of ongoing research projects.",Research group,H3ABionet node,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
School for Data Science and Computational ​​Thinking at Stellenbosch University,https://www.sun.ac.za/english/pgstudies/Pages/Data%20Science/School-for-Data-Science.aspx,"Aims to be a world-class institution for data science and computational thinking in and for Africa. It facilitates non-conventional, trans-faculty approaches to teaching and research in data science and computational thinking at Stellenbosch University in an interdisciplinary way. It spans the entire academic project, from under- and postgraduate training to research and specialist consultation.",Research group,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
South African Tuberculosis Bioinformatics Initiative,https://www.sun.ac.za/english/faculty/healthsciences/Molecular_Biology_Human_Genetics/bioinformatics/training,Committed to training the next generation of bioinformatics and biostatistics researchers.,Research group,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Centre for Bioinformatics and Computational Biology,https://www.up.ac.za/centre-for-bioinformatics-and-computational-biology,"Our function is training, support and research in the areas of Bioinformatics and Computational Biology.",Research group,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
University of Sciences - Techniques and Technologies of Bamako - Faculty of Medicine,https://www.usttb.edu.ml/,"USTTB includes faculties of Medicine, Pharmacy and Basic Sciences, an Institute of Applied Science, and the research laboratories founded by the NIH/NIAID which focus on malaria, tuberculosis and retrovirology.",Research group,H3ABionet node,Anelda van der Walt,Africa,Mali,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Mali,MLI,17,-4
"University of Mauritius, Department of Digital Technologies",https://www.uom.ac.mu/foicdt/index.php/overview,"The vision of the Digital Technologies department is to become a centre of excellence in the field of applied computing technologies and to open up new horizons in digital technologies through academic research, development and innovation.",Research group,H3ABionet node,Anelda van der Walt,Africa,Mauritius,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Mauritius,MUS,-20.2833,57.55
University Mohamed First - Morocco,http://www.ump.ma/en,"MIU aims to train students to do research in varied areas: sciences, law, literature, history, geography, languages, management, economic sciences, technology and engineering sciences.
",Research group,H3ABionet node,Anelda van der Walt,Africa,Morocco,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Morocco,MAR,32,-5
Namibia University of Science and Technology,https://www.nust.na/,"A premier technological university known for knowledge creation, innovation, and entrepreneurship.",Research organisation,NA,Anelda van der Walt,Africa,Namibia,NA,RSSE Africa meetups,NA,Namibia,NAM,-22,17
Malawi University of Business and Applied Sciences,http://www.mubas.ac.mw/,To be a centre of excellence in the provision of scientific and technological education and training for sustainable development.,Research organisation,NA,Anelda van der Walt,Africa,Malawi,NA,RSSE Africa meetups,NA,Malawi,MWI,-13.5,34
Ilifu,https://www.ilifu.ac.za/,"Ilifu, a big data infrastructure for data-intensive research, enables South African researchers to be world leaders in the strategic science domains of astronomy and bioinformatics.",Research infrastructure,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
Talarify,https://talarify.co.za,"Impact through digital innovation, open science, interdisciplinarity & reproducible research",Research organisation,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Stellenbosch University HPC Facilities,https://www0.sun.ac.za/international/current-students/postgraduate-students/postgraduate-skills/browse-by-a-z/high-performance-computing-facilities.html,"The HPC is currently being used by researchers from the departments of Accounting, Physics, Chemistry, Engineering (Civil, Process, E&E, Mechanical), Biochemistry, Genetics and Agri Sciences. The bioinfomaticists use the HPC to sift through terabytes of genetic data. Other researchers use HPC to simulate the load capacity of roads and tar, whilst others model chemical reactions.",Research infrastructure,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
South Africa Centre for Digital Language Resources (SADiLaR),https://sadilar.org/index.php/en/,"SADiLaR has an enabling function, with a focus on all official languages of South Africa, supporting research and development in the domains of language technologies and language-related studies in the humanities and social sciences.  The Centre supports the creation, management and distribution of digital language resources, as well as applicable software, which are freely available for research purposes through the Language Resource Catalogue.",Research infrastructure,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
Astrophysics Research Centre,https://astro.ukzn.ac.za/,Our vision is to be a world-class centre of excellence for research and postgraduate training in astrophysics and related data-intensive science.,Research group,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
Laboratoire de Mathématique et d’Estimation  Forestière at University of Abomey Calavi,http://labef-uac.org/en/,"Le Laboratoire de Biomathématiques et d’Estimations Forestières (LABEF) aims at analyzing the applicability of mathematics tools in life sciences and at understanding the interactions between ecological processes, anthropogenic factors and structure of terrestrial ecosystems, with a clear link to management and policy.",Research group,NA,Anelda van der Walt,Africa,Benin,NA,RSSE Africa meetups,NA,Benin,BEN,9.5,2.25
National e-Science postgraduate teaching and training platform,http://www.escience.ac.za/?page_id=1518,"This platform exists to develop human capital, with the knowledge and skills to conduct cutting-edge research in the field of e-Science – in line with the South African Research Infrastructure Roadmap (SARIR), the Square Kilometre Array (SKA) and others. The platform offers both MSc and MA degrees.",Training provider,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
Rhodes Centre for Radio Astronomy Techniques & Technologies,https://ratt.center/,"RATT’s mission is to conduct world-class research into novel radio astronomy calibration, imaging, data analysis algorithms, software and techniques that are urgently required to maximize the science yield of the next generation of radio telescopes such as MeerKAT and the Square Kilometre Array (SKA).",Research group,NA,Anelda van der Walt,Africa,South Africa,NA,RSSE Africa meetups,NA,South Africa,ZAF,-29,24
Machine Intelligence Institute of Africa (MIIA),https://miiafrica.org/,"MIIA aims to transform and help build an AI-powered Africa through a strong, innovative and collaborative Machine Intelligence, AI and Data Science community, consisting of individuals and key players in the African Artificial Intelligence Ecosystem.",Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Deep Learning Indaba,https://deeplearningindaba.com/2022/,"To Strengthen Machine Learning and Artificial Intelligence in Africa. We work towards the goal of Africans being not only observers and receivers of the ongoing advances in AI, but active shapers and owners of these technological advances.",Community,NA,Anelda van der Walt,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
